Month ,Branch,Item code,type,Description,Qty,Value
2025- Feb,Khozama ,del-220,لحم عجل,لحم العجل صافي,89.205,4297.40808
2025- Feb,Khozama ,del-221,لحم عجل,لحم العجل بالعظم,21.545,841.27906
2025- Feb,Khozama ,del-222,لحم عجل,لحم موزات صافي,28.045,1373.01037
2025- Feb,Khozama ,del-223,لحم عجل,لحم موزات بالعظم,3.065,122.6
2025- Feb,Khozama ,del-224,لحم عجل,لحم عجل مفروم,94.865,4449.08587
2025- Feb,Khozama ,del-225,لحم عجل,مكعبات صغيرة لحم بتلو,2.45,129.5435
2025- Feb,Khozama ,del-227,لحم عجل,لحم فتيلة,24.545,1472.7
2025- Feb,Khozama ,del-228,لحم عجل,كبدة بتلو,20.62,946.68378
2025- Feb,Khozama ,del-229,لحم عجل,شرائح رفيعة لحم بتلو,6.835,350.1727
2025- Feb,Khozama ,del-232,لحم عجل,لحم عجل مفروم صافي,52.81,2449.87815
2025- Feb,Khozama ,del-233,لحم عجل,لحم هريس,4.495,211.06956
2025- Feb,Khozama ,del-234,ضأن,خروف - كامل,0,0
2025- Feb,Khozama ,del-237,ضأن,خروف صغير - كامل,6,4255.65218
2025- Feb,Khozama ,del-238,ضأن,خروف صغير - نص,1,347.3913
2025- Feb,Khozama ,del-240,ضأن,لحم غنم بالكليو,50.075,2467.04352
2025- Feb,Khozama ,del-241,ضأن,موزات غنم,3.64,221.56523
2025- Feb,Khozama ,del-243,ضأن,كبدة غنم,1.945,91.33043
2025- Feb,Khozama ,del-244,ضأن,شحم غنم,1.1,21.784
2025- Feb,Khozama ,del-246,دجاج,طبق صدور دجاج,59,1172
2025- Feb,Khozama ,del-250,دجاج,صدور دجاج بالكيلو,73.13,2745.72735
2025- Feb,Khozama ,del-252,دجاج,دجاج التقى 900,33,507.15437
2025- Feb,Khozama ,del-253,دجاج,دجاج التقى 1000,38,605.83702
2025- Feb,Khozama ,del-254,دجاج,دجاج التقى 1100,35,555.21134
2025- Feb,Khozama ,del-262,لحم بقري,لحم بقري صافي,2,69.63478
2025- Feb,Khozama ,del-263,لحم بقري,لحم بقري مفروم,1.2,43.82609
2025- Feb,Khozama ,del-265,لحم عجل,برجر الشواء,89,1990.66939
2025- Feb,Khozama ,del-266,لحم عجل,برجر خالي من الدهون,25,534.56525
2025- Feb,Khozama ,del-267,دجاج,برجر الدجاج,52,944.57167
2025- Feb,Khozama ,del-268,لحم عجل,برجر الكيجن,33,709.38264
2025- Feb,Khozama ,del-269,لحم عجل,دونر كباب برجر,48,1166.6088
2025- Feb,Khozama ,del-270,لحم عجل,برجر الشواء 150 جرام,25,809.7825
2025- Feb,Khozama ,del-274,دجاج,مسحب افخاذ دجاج تندوري,24,391.3044
2025- Feb,Khozama ,del-275,لحم عجل,شاورما لحم,40,825.05419
2025- Feb,Khozama ,del-277,لحم عجل,كرات اللحم,42,972.39142
2025- Feb,Khozama ,del-278,دجاج,شاورما الدجاج,37,610.14786
2025- Feb,Khozama ,del-280,دجاج,فاهيتا الدجاج,35,576.92265
2025- Feb,Khozama ,del-281,دجاج,أوصال دجاج بهارات الشواء,54,889.82604
2025- Feb,Khozama ,del-283,دجاج,صدور دجاج كرسبي,77,931.85586
2025- Feb,Khozama ,del-284,دجاج,ستيك دجاج التتبيلة الإيطالية,29,490.45651
2025- Feb,Khozama ,del-285,لحم عجل,كباب لحم العجل,52,1125.587
2025- Feb,Khozama ,del-286,دجاج,كباب الدجاج,20,332.27173
2025- Feb,Khozama ,del-287,دجاج,جوجه كباب,16,237.89645
2025- Feb,Khozama ,del-288,دجاج,ستيك دجاج بالخردل والأعشاب,53,887.17389
2025- Feb,Khozama ,del-289,لحم عجل,كفتة السوق لحم,61,1176.78606
2025- Feb,Khozama ,del-290,دجاج,كفتة السوق دجاج,36,655.82604
2025- Feb,Khozama ,del-291,دجاج,ستيك دجاج تندوري,25,407.60875
2025- Feb,Khozama ,del-295,لحم عجل,بوكس البرجر لحم,2,229.56522
2025- Feb,Khozama ,del-296,دجاج,بوكس البرجر دجاج,1,85.21739
2025- Feb,Khozama ,del-297,منتجات اخرى,بوكس البرجر لحم و دجاج,1,102.6087
2025- Feb,Khozama ,del-298,منتجات اخرى,حمص,13,102.07821
2025- Feb,Khozama ,del-299,منتجات اخرى,ذرة,35,140
2025- Feb,Khozama ,del-300,منتجات اخرى,سلطة خضراء,1,4.50435
2025- Feb,Khozama ,del-302,لحم عجل,ريب اي ستيك,6.36,394.32
2025- Feb,Khozama ,del-304,لحم عجل,تندرلوين ستيك,11.295,982.665
2025- Feb,Khozama ,del-307,لحم عجل,ستربلوين ستيك,0.97,56.26
2025- Feb,Khozama ,del-313,منتجات اخرى,صلصة الترافلز,13,71.55655
2025- Feb,Khozama ,del-201,منتجات اخرى,بهارات اللحم المشوي,0,0
2025- Feb,Khozama ,del-203,منتجات اخرى,الفلفل الاسود,3,46.69566
2025- Feb,Khozama ,del-205,منتجات اخرى,بهارات كل يوم,1,10.75652
2025- Feb,Khozama ,del-207,منتجات اخرى,ملح الهملايا,4,43.02608
2025- Feb,Khozama ,del-215,منتجات اخرى,مكعبات مولع الفحم,1,6.52174
2025- Feb,Khozama ,del-217,منتجات اخرى,جبنة شيدر انجليزية,16,173.91312
